request,tor,delivery_time,weight,volume,revenue,Capacity_left,Status
13,1,1,18,35,29.0,300.0,-1
15,2,2,14,30,23.0,300.0,-1
2,3,2,6,11,11.0,300.0,-1
13,4,1,18,35,29.0,300.0,-1
9,5,1,10,22,17.0,300.0,-1
22,6,2,2,5,3.0,300.0,-1
5,7,2,16,34,26.0,300.0,-1
9,8,2,10,22,17.0,300.0,-1
6,9,0,10,22,14.0,300.0,-1
1,10,0,17,35,25.5,300.0,-1
9,11,0,10,22,17.0,300.0,-1
5,12,2,16,34,26.0,300.0,-1
5,13,2,16,34,26.0,300.0,-1
1,14,1,17,35,25.5,300.0,-1
22,15,0,2,5,3.0,300.0,-1
20,16,2,7,16,12.5,300.0,-1
20,17,2,7,16,12.5,300.0,-1
21,18,1,18,38,28.0,300.0,-1
24,19,0,11,24,16.5,300.0,-1
9,20,1,10,22,17.0,300.0,-1
9,21,1,10,22,17.0,300.0,-1
7,22,1,16,34,24.0,300.0,-1
14,23,1,9,19,13.5,300.0,-1
10,24,2,9,17,13.5,300.0,-1
9,25,1,10,22,17.0,300.0,-1
3,26,2,5,11,9.5,300.0,-1
20,27,2,7,16,12.5,300.0,-1
4,28,2,9,18,12.5,300.0,-1
5,29,1,16,34,26.0,300.0,-1
4,30,2,9,18,12.5,300.0,-1
20,31,1,7,16,12.5,300.0,-1
2,32,2,6,11,11.0,300.0,-1
15,33,0,14,30,23.0,300.0,-1
4,34,1,9,18,12.5,300.0,-1
8,35,1,12,23,17.0,300.0,-1
24,36,2,11,24,16.5,300.0,-1
4,37,1,9,18,12.5,300.0,-1
19,38,2,14,27,21.0,300.0,-1
18,39,2,8,15,14.0,300.0,-1
6,40,2,10,22,14.0,300.0,-1
