request,tor,delivery_time,weight,volume,revenue,Capacity_left,Status
10,1,0,9,18,14.5,300.0,-1
11,2,1,8,15,12.0,300.0,-1
6,3,1,10,22,15.0,300.0,-1
13,4,0,18,38,29.0,300.0,-1
10,5,2,9,18,14.5,300.0,-1
11,6,0,8,15,12.0,300.0,-1
5,7,1,16,33,23.0,300.0,-1
1,8,0,17,33,27.5,300.0,-1
8,9,2,12,23,19.0,300.0,-1
5,10,1,16,33,23.0,300.0,-1
9,11,1,10,22,14.0,300.0,-1
9,12,1,10,22,14.0,300.0,-1
10,13,2,9,18,14.5,300.0,-1
4,14,2,9,19,14.5,300.0,-1
8,15,0,12,23,19.0,300.0,-1
9,16,0,10,22,14.0,300.0,-1
11,17,0,8,15,12.0,300.0,-1
9,18,2,10,22,14.0,300.0,-1
14,19,0,9,18,15.5,300.0,-1
9,20,1,10,22,14.0,300.0,-1
7,21,0,16,31,25.0,300.0,-1
2,22,1,6,14,9.0,300.0,-1
10,23,1,9,18,14.5,300.0,-1
7,24,2,16,31,25.0,300.0,-1
11,25,0,8,15,12.0,300.0,-1
8,26,2,12,23,19.0,300.0,-1
4,27,1,9,19,14.5,300.0,-1
4,28,2,9,19,14.5,300.0,-1
5,29,1,16,33,23.0,300.0,-1
8,30,0,12,23,19.0,300.0,-1
13,31,2,18,38,29.0,300.0,-1
5,32,1,16,33,23.0,300.0,-1
14,33,0,9,18,15.5,300.0,-1
14,34,0,9,18,15.5,300.0,-1
1,35,2,17,33,27.5,300.0,-1
8,36,0,12,23,19.0,300.0,-1
2,37,2,6,14,9.0,300.0,-1
13,38,2,18,38,29.0,300.0,-1
7,39,2,16,31,25.0,300.0,-1
14,40,2,9,18,15.5,300.0,-1
